154,1,12,2,2
161,4,pangmonn,7,2
162,4,pangmonn,11,2
163,4,pangmonn,62,4
164,4,pangmonn,69,3
165,5,user1,2,3
166,5,user1,9,3
167,5,user1,6,2
190,5,963,4,3
191,5,963,11,3
192,5,963,18,3
235,1,apple,98,4
236,1,apple,100,3
237,1,963,6,1
238,1,963,9,2
239,1,963,100,3
240,1,963,2,2
241,1,963,3,3
242,1,963,99,1
290,2,sjsjwest6,99,3
291,2,sjsjwest6,101,3
292,2,sjsjwest6,103,3
293,2,sjsjwest6,107,3
294,2,sjsjwest6,109,3
299,3,sjsjwest6,1,3
300,3,sjsjwest6,8,3
301,3,sjsjwest6,19,3
302,3,sjsjwest6,104,3
303,3,sjsjwest6,41,3
304,4,sjsjwest6,2,3
305,4,sjsjwest6,9,3
306,4,sjsjwest6,21,3
307,4,sjsjwest6,105,3
343,1,pangmonn,3,4
344,1,pangmonn,9,3
345,1,pangmonn,21,3
346,1,pangmonn,1,3
347,1,pangmonn,41,3
348,1,pangmonn,30,2
349,1,pangmonn,4,2
453,3,963,7,3
454,3,963,10,3
455,3,963,23,3
456,3,963,104,3
457,3,963,51,3
458,2,user1,99,3
459,2,user1,101,4
460,2,user1,27,3
461,1,sjsjwest6,98,3
462,1,sjsjwest6,100,3
463,1,sjsjwest6,102,3
464,1,sjsjwest6,108,3
465,1,sjsjwest6,106,3
547,1,seojunP,98,3
548,1,seojunP,100,3
549,1,seojunP,102,3
550,1,seojunP,106,3
551,1,seojunP,108,3
552,1,seojunP,110,3
557,2,seojunP,99,3
558,2,seojunP,101,3
559,2,seojunP,103,3
560,2,seojunP,107,3
561,2,seojunP,109,3
562,2,seojunP,111,3
570,3,seojunP,1,3
571,3,seojunP,8,3
572,3,seojunP,19,3
573,3,seojunP,104,3
574,3,seojunP,41,3
575,3,seojunP,50,3
576,4,seojunP,2,3
577,4,seojunP,9,3
578,4,seojunP,21,3
579,4,seojunP,45,3
611,2,qkrqjWl,99,3
612,2,qkrqjWl,101,3
613,2,qkrqjWl,103,3
614,2,qkrqjWl,107,3
615,2,qkrqjWl,109,3
616,2,qkrqjWl,111,3
617,3,qkrqjWl,1,3
618,3,qkrqjWl,8,3
619,3,qkrqjWl,19,3
620,3,qkrqjWl,41,3
621,4,qkrqjWl,62,3
622,4,qkrqjWl,14,3
623,4,qkrqjWl,89,3
627,2,hongik,1,3
628,2,hongik,10,3
629,3,hongik,51,3
630,3,hongik,11,3
631,3,hongik,20,3
632,3,hongik,69,3
633,3,hongik,51,3
637,1,hongik,2,3
638,1,hongik,8,3
639,1,hongik,19,3
653,1,qkrqjWl,98,3
654,1,qkrqjWl,100,3
655,1,qkrqjWl,102,3
656,1,qkrqjWl,106,3
657,1,qkrqjWl,108,3
658,1,qkrqjWl,110,3
695,3,user1,62,3
696,3,user1,14,3
697,3,user1,41,3
706,1,user1,3,4
707,1,user1,1,3
708,1,user1,100,3
709,1,user1,102,3
710,1,user1,2,3
711,2,sdc05103,2,3
712,2,sdc05103,103,3
713,2,sdc05103,10,3
714,2,sdc05103,10,3
715,2,sdc05103,20,3
716,2,sdc05103,50,3
717,2,sdc05103,104,2
718,2,sdc05103,99,3
719,2,sdc05103,101,2
720,1,sdc05103,1,3
721,1,sdc05103,8,3
722,1,sdc05103,20,2
723,1,sdc05103,10,3
724,1,sdc05103,102,3
725,1,sdc05103,98,3
726,1,sdc05103,100,3
727,1,sdc05103,51,2
